"No.","Time","Source","Destination","Protocol","Length","Info"
"1652","9.576027","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xc4ac No such name A Z5hJZHyn.reddshrimpandherring.com SOA a.gtld-servers.net"
"1658","9.611312","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xacc9 No such name A nlF4PBzk.reddshrimpandherring.com SOA a.gtld-servers.net"
"1664","9.649804","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xe2e4 No such name A h+CXa09t.reddshrimpandherring.com SOA a.gtld-servers.net"
"1670","9.685543","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xd80a No such name A tbK/uIWB.reddshrimpandherring.com SOA a.gtld-servers.net"
"1678","9.752970","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x3d13 No such name A 2a3XH03l.reddshrimpandherring.com SOA a.gtld-servers.net"
"1691","9.824205","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xa010 No such name A J0AWOs3w.reddshrimpandherring.com SOA a.gtld-servers.net"
"1698","9.918876","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xd2b1 No such name A FIAowc1g.reddshrimpandherring.com SOA a.gtld-servers.net"
"1704","9.952358","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x0036 No such name A drwIRfot.reddshrimpandherring.com SOA a.gtld-servers.net"
"1710","9.998665","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xb3c4 No such name A ZjLL+DYc.reddshrimpandherring.com SOA a.gtld-servers.net"
"1730","10.067262","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xc8cd No such name A kXD4OIb9.reddshrimpandherring.com SOA a.gtld-servers.net"
"1743","10.134677","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xc679 No such name A h81LA4Xw.reddshrimpandherring.com SOA a.gtld-servers.net"
"1750","10.205148","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x37b7 No such name A nT95IG26.reddshrimpandherring.com SOA a.gtld-servers.net"
"1756","10.240990","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xfd89 No such name A BySoFVNP.reddshrimpandherring.com SOA a.gtld-servers.net"
"1764","10.289434","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x4c4f No such name A kqOgISqa.reddshrimpandherring.com SOA a.gtld-servers.net"
"1777","10.325242","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xa0cf No such name A YuvBSCsM.reddshrimpandherring.com SOA a.gtld-servers.net"
"1784","10.361123","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xd466 No such name A bq7AocPI.reddshrimpandherring.com SOA a.gtld-servers.net"
"1790","10.399283","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xbe8b No such name A JSAAt3gF.reddshrimpandherring.com SOA a.gtld-servers.net"
"1796","10.432953","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xf676 No such name A x5HUgibz.reddshrimpandherring.com SOA a.gtld-servers.net"
"1802","10.503341","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xb1f6 No such name A OsGF7kWB.reddshrimpandherring.com SOA a.gtld-servers.net"
"1808","10.569565","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x6acc No such name A K99ppjF/.reddshrimpandherring.com SOA a.gtld-servers.net"
"1814","10.606683","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xfe4b No such name A jTyNCNhU.reddshrimpandherring.com SOA a.gtld-servers.net"
"1869","10.702212","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x791f No such name A cWVizacs.reddshrimpandherring.com SOA a.gtld-servers.net"
"1895","10.751606","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xbef2 No such name A K4DhGAWE.reddshrimpandherring.com SOA a.gtld-servers.net"
"1908","10.819939","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xcc97 No such name A uAY+tVE7.reddshrimpandherring.com SOA a.gtld-servers.net"
"1915","10.854894","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x6370 No such name A 60aidRgy.reddshrimpandherring.com SOA a.gtld-servers.net"
"1921","10.896649","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xe02d No such name A nBt3Mokk.reddshrimpandherring.com SOA a.gtld-servers.net"
"1927","10.990830","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x7b04 No such name A 30d1RFWu.reddshrimpandherring.com SOA a.gtld-servers.net"
"1933","11.062494","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xc695 No such name A +9eXNk0X.reddshrimpandherring.com SOA a.gtld-servers.net"
"1939","11.127447","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x23db No such name A TI2DYRO/.reddshrimpandherring.com SOA a.gtld-servers.net"
"1945","11.161179","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x4731 No such name A 9MjYzoLj.reddshrimpandherring.com SOA a.gtld-servers.net"
"1953","11.265768","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x4435 No such name A Z+BtbAta.reddshrimpandherring.com SOA a.gtld-servers.net"
"1966","11.310419","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xd8b3 No such name A YkmRh2nr.reddshrimpandherring.com SOA a.gtld-servers.net"
"1973","11.345043","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x487b No such name A OTPSYXkE.reddshrimpandherring.com SOA a.gtld-servers.net"
"1985","11.400733","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x44c8 No such name A uXvd48AT.reddshrimpandherring.com SOA a.gtld-servers.net"
"1991","11.444101","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x9c4d No such name A /PNsKWtj.reddshrimpandherring.com SOA a.gtld-servers.net"
"1997","11.511134","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xa857 No such name A tFSfHl/9.reddshrimpandherring.com SOA a.gtld-servers.net"
"2003","11.578726","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x62cb No such name A 5HyMGCS6.reddshrimpandherring.com SOA a.gtld-servers.net"
"2009","11.643451","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x40f8 No such name A 1FjuRiR8.reddshrimpandherring.com SOA a.gtld-servers.net"
"2017","11.708002","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x523f No such name A jVZNhQOT.reddshrimpandherring.com SOA a.gtld-servers.net"
"2030","11.775329","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x7beb No such name A ZtxW+iuv.reddshrimpandherring.com SOA a.gtld-servers.net"
"2037","11.846077","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x9b29 No such name A UWyNwFJZ.reddshrimpandherring.com SOA a.gtld-servers.net"
"2043","11.921106","18.217.1.57","192.168.38.104","DNS","166","Standard query response 0x3a30 No such name A RntkbnNf.reddshrimpandherring.com SOA a.gtld-servers.net"
"2049","12.033860","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xcc58 No such name A MBJKiAFX.reddshrimpandherring.com SOA a.gtld-servers.net"
"2055","12.100136","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xef9b No such name A ZLRLdSKq.reddshrimpandherring.com SOA a.gtld-servers.net"
"2071","12.212527","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xa047 No such name A ++FVriJb.reddshrimpandherring.com SOA a.gtld-servers.net"
"2077","12.277691","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xfcfc No such name A S8mxGlhF.reddshrimpandherring.com SOA a.gtld-servers.net"
"2083","12.314249","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x5741 No such name A 7cNUr26D.reddshrimpandherring.com SOA a.gtld-servers.net"
"2089","12.349286","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x3720 No such name A mC90A9B0.reddshrimpandherring.com SOA a.gtld-servers.net"
"2095","12.413993","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x5731 No such name A a3P9pD4z.reddshrimpandherring.com SOA a.gtld-servers.net"
"2163","12.486314","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x6a8b No such name A mq6ivImu.reddshrimpandherring.com SOA a.gtld-servers.net"
"2169","12.520748","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xf772 No such name A ZSdLCe14.reddshrimpandherring.com SOA a.gtld-servers.net"
"2182","12.558630","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xc495 No such name A fIGPcLax.reddshrimpandherring.com SOA a.gtld-servers.net"
"2189","12.595273","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x8f9a No such name A 32eplH1b.reddshrimpandherring.com SOA a.gtld-servers.net"
"2195","12.629439","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xca1d No such name A K7ZFuDrG.reddshrimpandherring.com SOA a.gtld-servers.net"
"2201","12.728061","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xc1dd No such name A du8XDVin.reddshrimpandherring.com SOA a.gtld-servers.net"
"2207","12.780710","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x075a No such name A Kj9GKCI/.reddshrimpandherring.com SOA a.gtld-servers.net"
"2213","12.814698","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x653a No such name A bxl/NUmd.reddshrimpandherring.com SOA a.gtld-servers.net"
"2219","12.858547","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x02a8 No such name A 5lZkiKa3.reddshrimpandherring.com SOA a.gtld-servers.net"
"2227","12.894825","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x8cce No such name A tPwzBtD8.reddshrimpandherring.com SOA a.gtld-servers.net"
"2240","12.962992","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x9adc No such name A dt0idpyB.reddshrimpandherring.com SOA a.gtld-servers.net"
"2247","13.015299","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x1589 No such name A GY3VancC.reddshrimpandherring.com SOA a.gtld-servers.net"
"2253","13.108215","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x57e6 No such name A pFnvUGtZ.reddshrimpandherring.com SOA a.gtld-servers.net"
"2259","13.142525","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x4adc No such name A ttY3YINW.reddshrimpandherring.com SOA a.gtld-servers.net"
"2265","13.186989","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xdcf8 No such name A gie24mjc.reddshrimpandherring.com SOA a.gtld-servers.net"
"2271","13.234025","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x3e65 No such name A NEQMIULq.reddshrimpandherring.com SOA a.gtld-servers.net"
"2277","13.269809","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x4336 No such name A 2fHPxt2H.reddshrimpandherring.com SOA a.gtld-servers.net"
"2292","13.339425","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x1f6c No such name A +hFPfydr.reddshrimpandherring.com SOA a.gtld-servers.net"
"2299","13.376253","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x377f No such name A CormfRcj.reddshrimpandherring.com SOA a.gtld-servers.net"
"2307","13.440951","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xb0b1 No such name A OdUL5++a.reddshrimpandherring.com SOA a.gtld-servers.net"
"2313","13.508731","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xcd9d No such name A 44ujVBuF.reddshrimpandherring.com SOA a.gtld-servers.net"
"2319","13.542881","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x1aad No such name A bM+BQ8dN.reddshrimpandherring.com SOA a.gtld-servers.net"
"2325","13.609468","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x2734 No such name A 8XyIkzP+.reddshrimpandherring.com SOA a.gtld-servers.net"
"2333","13.648084","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x3f69 No such name A ruXuMxNJ.reddshrimpandherring.com SOA a.gtld-servers.net"
"2339","13.684108","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xd836 No such name A MjIGXIqy.reddshrimpandherring.com SOA a.gtld-servers.net"
"2353","13.753754","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x50f6 No such name A 05lusaWy.reddshrimpandherring.com SOA a.gtld-servers.net"
"2359","13.822126","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x42a1 No such name A IXbbtV+m.reddshrimpandherring.com SOA a.gtld-servers.net"
"2365","13.890659","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x0a4d No such name A 6tNHEBtX.reddshrimpandherring.com SOA a.gtld-servers.net"
"2371","13.937394","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x66f7 No such name A LzIOPkPb.reddshrimpandherring.com SOA a.gtld-servers.net"
"2379","14.028094","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xe998 No such name A gxp8M51b.reddshrimpandherring.com SOA a.gtld-servers.net"
"2391","14.064345","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x70d3 No such name A +nB4/jzJ.reddshrimpandherring.com SOA a.gtld-servers.net"
"2398","14.099198","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x462d No such name A uXhVF4ys.reddshrimpandherring.com SOA a.gtld-servers.net"
"2405","14.192140","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x68e1 No such name A GJlKZrN+.reddshrimpandherring.com SOA a.gtld-servers.net"
"2411","14.244708","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xa67e No such name A 282DOxFJ.reddshrimpandherring.com SOA a.gtld-servers.net"
"2417","14.314265","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x1378 No such name A zpt1YuKN.reddshrimpandherring.com SOA a.gtld-servers.net"
"2425","14.383889","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x73bf No such name A NRsUAHXx.reddshrimpandherring.com SOA a.gtld-servers.net"
"2439","14.477854","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x8171 No such name A oDIrXLVR.reddshrimpandherring.com SOA a.gtld-servers.net"
"2445","14.553435","18.217.1.57","192.168.38.104","DNS","166","Standard query response 0x531d No such name A M3hmMWxf.reddshrimpandherring.com SOA a.gtld-servers.net"
"2796","14.670078","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xfd9e No such name A Mk5HboDA.reddshrimpandherring.com SOA a.gtld-servers.net"
"2855","14.708117","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x0af7 No such name A JX5nT3mx.reddshrimpandherring.com SOA a.gtld-servers.net"
"2867","14.746796","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x17e9 No such name A Q9yUm/uO.reddshrimpandherring.com SOA a.gtld-servers.net"
"2875","14.826323","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xb72a No such name A GBsIaOVw.reddshrimpandherring.com SOA a.gtld-servers.net"
"2881","14.872778","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xdbf8 No such name A udbwL8HA.reddshrimpandherring.com SOA a.gtld-servers.net"
"2887","14.908683","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x6966 No such name A UtR5YJk0.reddshrimpandherring.com SOA a.gtld-servers.net"
"2893","14.944898","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x70d2 No such name A hTid4evh.reddshrimpandherring.com SOA a.gtld-servers.net"
"2899","15.010155","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x2872 No such name A ky4GGyGX.reddshrimpandherring.com SOA a.gtld-servers.net"
"2909","15.077227","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x0c11 No such name A XJbKd2Gc.reddshrimpandherring.com SOA a.gtld-servers.net"
"2920","15.120423","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x164c No such name A yHINlfmQ.reddshrimpandherring.com SOA a.gtld-servers.net"
"2927","15.157929","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xa80b No such name A TerVtBw4.reddshrimpandherring.com SOA a.gtld-servers.net"
"2933","15.202138","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xc778 No such name A rgiQTZeg.reddshrimpandherring.com SOA a.gtld-servers.net"
"2939","15.238664","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x0d31 No such name A mqqZKNFc.reddshrimpandherring.com SOA a.gtld-servers.net"
"2945","15.285573","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x77b2 No such name A hurTYxbn.reddshrimpandherring.com SOA a.gtld-servers.net"
"2953","15.332451","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x42d2 No such name A M2yc0p/K.reddshrimpandherring.com SOA a.gtld-servers.net"
"2965","15.366541","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x99d4 No such name A k9hfHtFr.reddshrimpandherring.com SOA a.gtld-servers.net"
"2973","15.436860","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x960f No such name A 3gEtiL6U.reddshrimpandherring.com SOA a.gtld-servers.net"
"2981","15.481419","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x10a7 No such name A J+3dTlY7.reddshrimpandherring.com SOA a.gtld-servers.net"
"2994","15.529943","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xcf9b No such name A WBYd1saM.reddshrimpandherring.com SOA a.gtld-servers.net"
"3001","15.566096","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x4e64 No such name A UykMEuPb.reddshrimpandherring.com SOA a.gtld-servers.net"
"3009","15.633687","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x04af No such name A usspm1e3.reddshrimpandherring.com SOA a.gtld-servers.net"
"3015","15.668039","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xb620 No such name A n6LAUOHr.reddshrimpandherring.com SOA a.gtld-servers.net"
"3031","15.737630","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x880a No such name A a7fKrq7b.reddshrimpandherring.com SOA a.gtld-servers.net"
"3040","15.775492","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x9b5d No such name A NLWqvffb.reddshrimpandherring.com SOA a.gtld-servers.net"
"3050","15.815855","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x6846 No such name A jA7cwYZS.reddshrimpandherring.com SOA a.gtld-servers.net"
"3057","15.857967","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x9b09 No such name A YQoNqdqR.reddshrimpandherring.com SOA a.gtld-servers.net"
"3063","15.926520","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x2219 No such name A bEJJWqvq.reddshrimpandherring.com SOA a.gtld-servers.net"
"3071","15.996228","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x735a No such name A rIrbCl8t.reddshrimpandherring.com SOA a.gtld-servers.net"
"3084","16.045574","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x85cb No such name A 2VPCMWzB.reddshrimpandherring.com SOA a.gtld-servers.net"
"3091","16.080105","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xb95c No such name A vH/vJiy2.reddshrimpandherring.com SOA a.gtld-servers.net"
"3099","16.125166","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xd0cb No such name A e8bxxZ92.reddshrimpandherring.com SOA a.gtld-servers.net"
"3112","16.219010","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x05a3 No such name A Sk7RnT+D.reddshrimpandherring.com SOA a.gtld-servers.net"
"3121","16.286578","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xfeb0 No such name A CeBXXXFy.reddshrimpandherring.com SOA a.gtld-servers.net"
"3134","16.381807","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x3263 No such name A 2Gu7zRXL.reddshrimpandherring.com SOA a.gtld-servers.net"
"3143","16.455193","18.217.1.57","192.168.38.104","DNS","166","Standard query response 0x99dd No such name A ZnR3X2Rl.reddshrimpandherring.com SOA a.gtld-servers.net"
"3159","16.600383","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x9d9d No such name A vQ6gMW/g.reddshrimpandherring.com SOA a.gtld-servers.net"
"3171","16.638055","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xb4d5 No such name A q18YMnNi.reddshrimpandherring.com SOA a.gtld-servers.net"
"3178","16.681565","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x65f4 No such name A N9teS0Ov.reddshrimpandherring.com SOA a.gtld-servers.net"
"3194","16.778173","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x629a No such name A FbzJBzzB.reddshrimpandherring.com SOA a.gtld-servers.net"
"3201","16.812957","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x3bad No such name A SmDzvZ71.reddshrimpandherring.com SOA a.gtld-servers.net"
"3209","16.905728","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x48e0 No such name A PFD94NTp.reddshrimpandherring.com SOA a.gtld-servers.net"
"3222","16.970396","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x82b6 No such name A /ye5yTrK.reddshrimpandherring.com SOA a.gtld-servers.net"
"3229","17.007835","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x53ad No such name A EwV0JaDu.reddshrimpandherring.com SOA a.gtld-servers.net"
"3244","17.103277","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x032f No such name A N5SEeqoS.reddshrimpandherring.com SOA a.gtld-servers.net"
"3251","17.137507","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xb240 No such name A aKMnpRkB.reddshrimpandherring.com SOA a.gtld-servers.net"
"3259","17.201309","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xec44 No such name A ttR69hjV.reddshrimpandherring.com SOA a.gtld-servers.net"
"3272","17.267757","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x87aa No such name A fvMGQY0s.reddshrimpandherring.com SOA a.gtld-servers.net"
"3279","17.305261","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x8fd9 No such name A tTTnvTin.reddshrimpandherring.com SOA a.gtld-servers.net"
"3294","17.374323","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x1835 No such name A SO4JxvAC.reddshrimpandherring.com SOA a.gtld-servers.net"
"3300","17.413514","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xcb3e No such name A rAlDx9m7.reddshrimpandherring.com SOA a.gtld-servers.net"
"3307","17.447719","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xc7ee No such name A fMHx7/PX.reddshrimpandherring.com SOA a.gtld-servers.net"
"3314","17.502402","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xeeed No such name A yF3zkFuG.reddshrimpandherring.com SOA a.gtld-servers.net"
"3325","17.581963","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x2462 No such name A UFq4pqcs.reddshrimpandherring.com SOA a.gtld-servers.net"
"3339","17.675878","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xd790 No such name A qmHFH7Ox.reddshrimpandherring.com SOA a.gtld-servers.net"
"3352","17.733918","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xb0cd No such name A aHARNwGW.reddshrimpandherring.com SOA a.gtld-servers.net"
"3361","17.802823","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x861e No such name A a817nStX.reddshrimpandherring.com SOA a.gtld-servers.net"
"3374","17.868760","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x2969 No such name A g9olPnyg.reddshrimpandherring.com SOA a.gtld-servers.net"
"3381","17.915561","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xbaa4 No such name A PeOZIsZ8.reddshrimpandherring.com SOA a.gtld-servers.net"
